spec_index,tb,vm_298K,C_number,H_number,S_number,N_number,O_number,mw,aromatic_ring_number,naphthenic_ring_number,thiophene_ring_number,total_ring_number,cetane_number_Beta,cetane_number,tm,gasoline_piona_type
1,231.062,86.9961,3,8,0,0,0,44.09562,0,0,0,0,0.5212,31.72,70.93626651,1
2,261.293,103.338,4,10,0,0,0,58.1222,0,0,0,0,7.3717,25,77.47734158,2
3,331.114,131.893,6,14,0,0,0,86.17536,0,0,0,0,7.3717,12,105.9037649,2
4,353.989,144.433,7,16,0,0,0,100.20194,0,0,0,0,7.3717,14,158.3110953,2
5,328.733,128.01,6,12,0,0,0,84.15948,0,0,0,0,0.3597,23.8,111.4263919,3
6,266.201,93.4626,4,8,0,0,0,56.10632,0,0,0,0,0.3597,20,84.18135448,3
7,225.595,80.5527,3,6,0,0,0,42.07974,0,0,0,0,0.3597,20,77.94527085,3
8,351.018,138.465,7,14,0,0,0,98.18606,0,0,0,0,0.3597,47,162.1672124,3
9,322.389,93.5719,5,10,0,0,0,70.1329,0,1,0,1,0.0727,18.5,133.4634804,4
10,353.851,107.528,6,12,0,0,0,84.15948,0,1,0,1,0.0727,18.5,159.6394957,4
11,353.219,88.3962,6,6,0,0,0,78.11184,1,0,0,1,3.1967,10.7,186.0891497,5
12,347.7671633,90.8,4,10,1,0,0,90.1872,0,0,0,0,3.1967,11.7,165.4561254,0
13,378.0036488,92.2,4,8,1,0,0,88.17132,0,1,0,1,3.1967,22.6,186.3128625,0
14,382.8535854,77.4,4,4,1,0,0,84.13956,1,0,1,1,3.1967,22.6,201.5536119,0
15,375.8314572,68.9,4,5,0,1,0,67.0892,0,1,0,1,3.1967,22.6,263.8425971,0
16,381.4908878,82,5,5,0,1,0,79.0999,1,0,0,1,3.1967,22.6,234.6691166,0
17,272.623,99.6069,4,10,0,0,0,58.1222,0,0,0,0,0.5212,31.72,95.00923824,1
18,309.207,114.433,5,12,0,0,0,72.14878,0,0,0,0,0.5212,31.72,115.6194827,1
19,341.861,129.883,6,14,0,0,0,86.17536,0,0,0,0,0.5212,39.97,133.6390466,1
20,371.515,145.741,7,16,0,0,0,100.20194,0,0,0,0,0.5212,54.61,149.6470942,1
21,398.794,161.751,8,18,0,0,0,114.22852,0,0,0,0,0.5212,61.56,164.0479561,1
22,423.789,177.819,9,20,0,0,0,128.2551,0,0,0,0,0.5212,85.4,177.1351094,1
23,447.267,194.017,10,22,0,0,0,142.28168,0,0,0,0,0.5212,80.91,189.128329,1
24,469.051,210.173,11,24,0,0,0,156.30826,0,0,0,0,0.5212,84.74,200.1964712,1
25,489.449,226.474,12,26,0,0,0,170.33484,0,0,0,0,0.5212,83.15,210.4720819,1
26,300.996,115.624,5,12,0,0,0,72.14878,0,0,0,0,7.3717,25,100.5598151,2
27,333.39,128.922,6,14,0,0,0,86.17536,0,0,0,0,7.3717,29.5,120.4401121,2
28,363.103,145.021,7,16,0,0,0,100.20194,0,0,0,0,7.3717,33.4,137.8994158,2
29,390.784,162.82,8,18,0,0,0,114.22852,0,0,0,0,7.3717,41.9,153.4638791,2
30,416.096,178.573,9,20,0,0,0,128.2551,0,0,0,0,7.3717,42,167.504821,2
31,440.1,194.818,10,22,0,0,0,142.28168,0,0,0,0,7.3717,47.3,180.2940878,2
32,462.315,210.066,11,24,0,0,0,156.30826,0,0,0,0,7.3717,48,192.0366885,2
33,484.427,227.437,12,26,0,0,0,170.33484,0,0,0,0,7.3717,50,202.891056,2
34,504.9328394,245.4,13,28,0,0,0,184.36142,0,0,0,0,7.3717,50.2,212.9821673,2
35,362.971,143.436,7,16,0,0,0,100.20194,0,0,0,0,7.3717,14,125.1041251,2
36,388.734,163.711,8,18,0,0,0,114.22852,0,0,0,0,7.3717,15.5,142.0369961,2
37,413.499,179.705,9,20,0,0,0,128.2551,0,0,0,0,7.3717,35,157.181818,2
